Quarter,Time,Down,ToGo,Location,Away,Home,Detail,EPB,EPA,field_side,yardline,play_start_time,Play_Type,posession,Yardage,away,home,possession,game_id
1,8:51,2,10,BUF 23,,,Josh Allen pass complete short right to Deonte Harty for 1 yard (tackle by C.J. Mosley),-0.070,-0.690,BUF,23.0,6.15,Pass,,1.0,0,0,BUF,1.0
1,8:19,3,10,BUF 24,,,Josh Allen scrambles up the middle for 14 yards (tackle by D.J. Reed),-0.690,1.470,BUF,24.0,6.683333333333334,Pass,,14.0,0,0,BUF,1.0
1,7:25,1,10,BUF 38,,,Josh Allen pass complete short left to Deonte Harty for 3 yards (tackle by Adrian Amos),1.470,1.330,BUF,38.0,7.583333333333333,Pass,,3.0,0,0,BUF,1.0
1,6:49,2,7,BUF 41,,,James Cook up the middle for 8 yards (tackle by D.J. Reed),1.330,2.190,BUF,41.0,8.183333333333334,Run,,8.0,0,0,BUF,1.0
1,6:21,1,10,BUF 49,,,Josh Allen pass complete short left to Dawson Knox for 6 yards (tackle by D.J. Reed),2.190,2.460,BUF,49.0,8.65,Pass,,6.0,0,0,BUF,1.0
1,5:44,2,4,NYJ 45,,,Josh Allen pass complete short right to Stefon Diggs for 15 yards (tackle by Adrian Amos),2.460,3.580,NYJ,45.0,9.266666666666666,Pass,,15.0,0,0,BUF,1.0
1,5:08,1,10,NYJ 30,,,Josh Allen sacked by John Franklin-Myers for -9 yards,3.580,1.820,NYJ,30.0,9.866666666666665,Run,,-9.0,0,0,BUF,1.0
1,4:29,2,19,NYJ 39,,,Josh Allen pass complete short right to Dawson Knox for 4 yards (tackle by Quinnen Williams and Michael Carter),1.820,1.680,NYJ,39.0,10.516666666666666,Pass,,4.0,0,0,BUF,1.0
1,3:59,3,15,NYJ 35,,,Josh Allen pass complete short left to Damien Harris for 13 yards (tackle by Quincy Williams),1.680,2.120,NYJ,35.0,11.016666666666666,Pass,,-13.0,0,0,BUF,1.0
1,3:01,1,10,NYJ 22,,,"Zach Wilson pass incomplete short right. Penalty on Mekhi Becton: Ineligible Downfield Pass, 5 yards (declined) ",0.410,-0.130,NYJ,22.0,11.983333333333333,Pass,,0.0,3,0,NYJ,1.0
1,2:58,2,10,NYJ 22,,,"Penalty on Laken Tomlinson: False Start, 5 yards (accepted) (no play)",-0.130,-0.940,NYJ,22.0,12.033333333333331,Run,,-5.0,3,0,NYJ,1.0
1,2:58,2,15,NYJ 17,,,Zach Wilson pass complete short left to Dalvin Cook for 4 yards (tackle by Micah Hyde and Matt Milano),-0.940,-0.960,NYJ,17.0,12.033333333333331,Pass,,4.0,3,0,NYJ,1.0
1,2:15,3,11,NYJ 21,,,Zach Wilson pass complete deep right to Allen Lazard for 22 yards (tackle by Jordan Poyer),-0.960,1.800,NYJ,21.0,12.749999999999998,Pass,,22.0,3,0,NYJ,1.0
1,1:33,1,10,NYJ 43,,,Dalvin Cook left guard for 5 yards (tackle by Christian Benford and Jordan Poyer),1.800,1.930,NYJ,43.0,13.449999999999998,Run,,5.0,3,0,NYJ,1.0
1,0:59,2,5,NYJ 48,,,Dalvin Cook left end for -4 yards (tackle by Matt Milano),1.930,0.690,NYJ,48.0,14.016666666666664,Run,,-4.0,3,0,NYJ,1.0
1,0:16,3,9,NYJ 44,,,Zach Wilson sacked by Jordan Phillips for -12 yards,0.690,-1.240,NYJ,44.0,14.73333333333333,Run,,-12.0,3,0,NYJ,1.0
2,15:00,4,21,NYJ 32,,,"Thomas Morstead punts 39 yards, fair catch by Deonte Harty at BUF-29",-1.240,-0.870,NYJ,32.0,14.999999999999998,Special Teams,,0.0,3,0,NYJ,1.0
2,13:54,2,12,BUF 27,,,Josh Allen pass complete short left to James Cook for 4 yards (tackle by Quincy Williams),0.060,-0.100,BUF,27.0,16.099999999999998,Pass,,4.0,3,0,BUF,1.0
